"type","group","kanji","kana","translation","pattern"
"word","L1","","あの","эм...",""
"word","L1","今","いま","сейчас",""
"word","L1","英語","えいご","английский (язык)",""
"word","L1","","ええ","да",""
"word","L1","学生","がくせい","студент",""
"word","L1","〜語","〜ご","...язык",""
"word","L1","高校","こうこう","старшая школа",""
"word","L1","午後","ごご","после полудня",""
"word","L1","午前","ごぜん","до полудня",""
"word","L1","〜歳","〜さい","...лет",""
"word","L1","","〜さん","господин/госпожа...",""
"word","L1","〜時","〜じ","...часов",""
"word","L1","〜人","〜じん","...люди",""
"word","L1","専攻","せんこう","специальность",""
"word","L1","先生","せんせい","учитель; профессор",""
"word","L1","","そうです","Верно.",""
"word","L1","","そうですか","Понятно.; Вот как?",""
"word","L1","大学","だいがく","колледж; университет",""
"word","L1","電話","でんわ","телефон",""
"word","L1","友だち","ともだち","друг",""
"word","L1","名前","なまえ","имя",""
"word","L1","何","なん／なに","что",""
"word","L1","日本","にほん","Япония",""
"word","L1","〜年生","〜ねんせい","студент...курса",""
"word","L1","","はい","да",""
"word","L1","半","はん","половина",""
"word","L1","番号","ばんごう","номер",""
"word","L1","留学生","りゅうがくせい","иностранный студент",""
"word","L1","私","わたし","я",""
"word","L1","","アメリカ","США",""
"word","L1","","イギリス","Великобритания",""
"word","L1","","オーストラリア","Австралия",""
"word","L1","韓国","かんこく","Корея",""
"word","L1","","スウェーデン","Швеция",""
"word","L1","中国","ちゅうごく","Китай",""
"word","L1","科学","かがく","наука",""
"word","L1","","アジアけんきゅう","азиатские исследования",""
"word","L1","経済","けいざい","экономика",""
"word","L1","国際関係","こくさいかんけい","международные отношения",""
"word","L1","","コンピューター","компьютер",""
"word","L1","人類学","じんるいがく","антропология",""
"word","L1","政治","せいじ","политика",""
"word","L1","","ビジネス","бизнес",""
"word","L1","文学","ぶんがく","литература",""
"word","L1","歴史","れきし","история",""
"word","L1","仕事","しごと","работа; занятие",""
"word","L1","医者","いしゃ","врач",""
"word","L1","会社員","かいしゃいん","офисный работник",""
"word","L1","高校生","こうこうせい","ученик старшей школы",""
"word","L1","主婦","しゅふ","домохозяйка",""
"word","L1","大学院生","だいがくいんせい","аспирант",""
"word","L1","大学生","だいがくせい","студент вуза",""
"word","L1","弁護士","べんごし","адвокат",""
"word","L1","お母さん","おかあさん","мама",""
"word","L1","お父さん","おとうさん","папа",""
"word","L1","お姉さん","おねえさん","старшая сестра",""
"word","L1","お兄さん","おにいさん","старший брат",""
"word","L1","妹","いもうと","младшая сестра",""
"word","L1","弟","おとうと","младший брат",""
"word","L2","","これ","это",""
"word","L2","","それ","то (у тебя)",""
"word","L2","","あれ","то (вон там)",""
"word","L2","","どれ","которое",""
"word","L2","","この","этот...",""
"word","L2","","その","тот...",""
"word","L2","","あの","вон тот...",""
"word","L2","","どの","который...",""
"word","L2","","ここ","здесь",""
"word","L2","","そこ","там",""
"word","L2","","あそこ","вон там",""
"word","L2","","どこ","где",""
"word","L2","","だれ","кто",""
"word","L2","","おいしい","вкусный",""
"word","L2","魚","さかな","рыба",""
"word","L2","","とんかつ","свиная котлета",""
"word","L2","肉","にく","мясо",""
"word","L2","","メニュー","меню",""
"word","L2","野菜","やさい","овощ",""
"word","L2","鉛筆","えんぴつ","карандаш",""
"word","L2","傘","かさ","зонт",""
"word","L2","","かばん","сумка",""
"word","L2","靴","くつ","туфли",""
"word","L2","財布","さいふ","кошелёк",""
"word","L2","","ジーンズ","джинсы",""
"word","L2","辞書","じしょ","словарь",""
"word","L2","自転車","じてんしゃ","велосипед",""
"word","L2","新聞","しんぶん","газета",""
"word","L2","","Tシャツ","футболка",""
"word","L2","時計","とけい","часы",""
"word","L2","","ノート","тетрадь",""
"word","L2","","ペン","ручка",""
"word","L2","帽子","ぼうし","шляпа; кепка",""
"word","L2","本","ほん","книга",""
"word","L2","喫茶店","きっさてん","кафе",""
"word","L2","銀行","ぎんこう","банк",""
"word","L2","","トイレ","туалет",""
"word","L2","図書館","としょかん","библиотека",""
"word","L2","郵便局","ゆうびんきょく","почта",""
"word","L2","","いくら","сколько стоит",""
"word","L2","〜円","〜えん","...иен",""
"word","L2","高い","たかい","дорогой",""
"word","L2","","いらっしゃいませ","Добро пожаловать.",""
"word","L2","","(〜を)おねがいします","..., пожалуйста.",""
"word","L2","","(〜を)ください","Дайте мне...",""
